cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
372	360	1100	990	7070	10010	400	3000	10010
276	540	700	770	9030	10010	500	10010	10010
300	510	1400	830	3090	10010	400	1900	10010
288	510	1100	730	5890	10010	400	3200	10010
312	420	1300	970	1570	10010	400	2500	10010
300	480	1400	770	2830	10010	500	4800	10010
312	525	1000	890	3610	10010	400	900	10010
372	360	1400	830	4970	10010	500	1400	10010
300	375	1700	850	3790	10010	400	5100	10010
300	465	1600	810	7910	10010	400	4200	10010
300	405	1400	870	2290	10010	400	7900	10010
348	540	1200	830	8170	10010	500	5200	10010
384	495	1000	750	4090	10010	400	4100	10010
360	585	1300	830	10010	10010	300	1400	10010
264	570	1200	830	9810	10010	400	6500	10010
384	495	1000	770	10010	10010	400	4600	10010
456	540	1100	790	5410	10010	300	3700	10010
348	615	1200	830	3550	10010	400	5200	10010
300	495	1200	850	10010	10010	400	5000	10010
288	495	1400	1030	10010	10010	400	4100	10010
336	420	1300	910	5050	10010	500	4300	10010
372	480	1300	970	4630	10010	400	4900	10010
324	405	1200	870	4250	10010	400	8000	10010
324	555	1600	830	8470	10010	400	3700	10010
276	465	800	1030	1830	10010	500	10010	10010
408	510	1400	950	7450	10010	400	1500	10010
312	405	1100	830	9610	10010	400	1600	10010
372	330	1300	730	10010	10010	400	3600	10010
348	360	1600	710	3330	10010	400	1300	10010
300	420	800	850	9090	10010	400	9500	10010
527	405	300	910	9070	10013	200	300	10013
595	390	300	830	10013	10013	200	300	10013
510	435	300	930	5710	10013	200	300	10013
544	420	300	730	3710	10013	200	300	10013
646	405	300	970	9050	10013	200	200	10013
544	675	300	830	10013	10013	200	300	10013
493	345	400	850	5870	10013	200	300	10013
561	435	300	890	8630	10013	200	300	10013
527	435	300	790	10013	10013	200	300	10013
493	375	400	850	4030	10013	200	300	10013
425	330	300	790	9470	10013	200	200	10013
510	405	300	930	7890	10013	200	300	10013
544	405	300	690	10013	10013	200	300	10013
527	480	300	890	3810	10013	200	300	10013
595	390	300	530	8510	10013	200	300	10013
612	435	300	870	10013	10013	200	300	10013
527	345	300	1010	8790	10013	200	300	10013
578	435	300	870	5290	10013	200	300	10013
408	255	300	770	6430	10013	200	300	10013
