cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
7.54952e-15	0.121342	0.0518914	2.17709	1.27148	2.3579	0.0550049	1.38555	2.11401
7.54952e-15	0.0275509	0.0170465	0.0471482	1.13038	2.60311	0.0531414	1.3543	2.48737
7.54952e-15	0.148371	0.0155868	1.84711	1.49352	2.54589	0.0577784	1.44664	2.50887
7.54952e-15	0.05192	0.0301447	0.0464499	1.22789	2.93386	0.0545202	1.41707	2.20584
7.54952e-15	0.142408	0.0231192	2.02077	1.25521	2.50273	0.049055	1.28406	2.43087
7.54952e-15	0.153947	0.0299992	1.43136	1.12882	2.55466	0.0532487	1.45944	2.58346
1.11022e-14	0.410497	0.0333668	1.43202	1.54852	2.64606	0.0459515	1.08715	2.4312
7.54952e-15	0.333753	0.0475331	2.17535	1.69185	2.87148	0.0469451	1.20427	2.26667
3.9968e-15	0.0527595	0.799188	2.32289	1.27647	2.56086	0.0524162	1.22823	2.43446
7.54952e-15	0.0484399	0.0333128	1.65209	1.10863	2.58642	0.0510528	1.37852	2.50804
7.54952e-15	0.0919836	0.0588586	1.65287	1.48384	2.56433	0.0524095	1.31844	2.52134
7.54952e-15	0.154297	0.00755748	2.17728	1.30758	2.52524	0.0559465	1.30442	2.4604
1.46549e-14	0.0716584	0.0531672	2.58876	1.20791	2.37707	0.0543736	1.19798	2.65174
7.54952e-15	0.0329609	0.0217847	2.17766	1.33844	2.76976	0.0398525	1.26948	2.45813
7.54952e-15	0.0636585	0.0275113	2.32242	1.86401	2.68597	0.0518872	1.08029	2.41419
7.54952e-15	0.154631	0.0292785	1.65391	1.35529	2.87158	0.0499242	1.26383	2.36564
7.54952e-15	0.186799	0.0193386	2.02013	1.70843	2.64052	0.0527345	1.29756	2.34144
3.9968e-15	0.341049	0.0157306	1.65213	1.83692	2.59291	0.0474119	1.19078	2.38151
7.54952e-15	0.0859627	0.0341114	2.01998	1.33744	2.2005	0.0558401	1.27335	2.46669
1.46549e-14	0.0764854	1.15694	2.32283	1.46396	2.48474	0.0532962	1.26224	2.31841
7.54952e-15	0.138507	0.033325	1.84679	1.11905	2.36923	0.0551799	1.35228	2.50238
7.54952e-15	0.0630408	0.059721	2.02089	1.48012	2.62095	0.0481789	1.25608	2.53866
7.54952e-15	0.0345771	0.0260168	1.65322	1.24476	2.65899	0.0531714	1.19554	2.33206
1.46549e-14	0.110985	0.0502917	1.65076	1.06023	2.62877	0.051236	1.36464	2.25522
7.54952e-15	0.0495958	0.0242141	2.01942	1.27361	2.6201	0.0544425	1.21508	2.44224
7.54952e-15	0.072158	0.024458	1.84649	1.30023	2.38077	0.0600036	1.21914	2.56904
7.54952e-15	0.080121	0.489868	1.65444	1.41122	2.40317	0.0495678	1.44097	2.43257
7.54952e-15	0.16409	0.0260494	1.84622	1.29715	2.10512	0.0556326	0.960825	2.41688
7.54952e-15	0.101845	0.0809421	1.16088	1.74241	2.91229	0.0484667	1.29581	2.54497
7.54952e-15	0.107881	0.0197587	1.65564	1.72016	2.66195	0.0438244	1.33215	2.61907
