cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
1.97229	16.5873	20.4905	9.70218	22.1196	25.1243	19.3166	11.4992	18.9983
2.34793	17.4782	21.228	9.25277	22.2411	24.4983	19.0965	11.6269	18.3191
2.06371	17.3104	20.7142	8.8914	21.5313	24.369	19.2994	11.9041	19.1753
2.12897	17.1835	21.2369	9.43306	22.4975	25.055	19.2681	12.2147	19.0167
1.90319	16.7203	20.8569	9.38386	21.9913	24.6929	19.0963	12.201	19.0761
2.0814	17.2232	21.1114	9.5405	21.7094	25.2517	19.1236	12.1614	19.0991
2.33113	16.8645	20.8868	9.17634	21.8924	24.3462	19.1322	11.544	18.3843
2.39801	16.5931	21.1243	8.79254	22.4403	24.3948	19.2046	12.4518	18.4993
2.24974	16.3328	20.43	9.39399	21.6164	24.755	19.0313	11.8271	19.058
2.31707	16.4186	20.9787	8.82321	21.6448	24.309	19.1657	12.3029	18.4267
2.29754	17.1534	20.9399	9.15266	21.8708	24.754	19.0333	11.8675	18.9712
2.14425	16.8369	20.9046	9.21862	21.9835	24.4497	19.0598	12.1312	19.5694
2.2035	16.1408	20.6917	8.74665	21.9417	24.4714	19.054	12.8768	18.951
2.42227	17.4656	20.7858	9.28798	22.1008	24.7409	19.1063	11.8802	18.8706
2.28866	16.9232	21.1929	9.33559	21.8934	24.8955	19.0282	12.1031	18.306
2.32864	16.6472	21.376	9.00195	21.1712	24.3283	19.1752	11.7822	18.8197
2.25751	16.5526	20.6699	9.4502	21.7674	24.8703	19.1548	11.5054	18.4161
2.32449	16.6245	20.8766	9.68358	21.906	24.9335	19.176	12.4004	18.2121
2.10752	17.0392	20.9783	9.43854	22.065	24.9959	19.1034	12.027	18.4906
2.14299	16.5815	20.7065	8.97715	21.9462	24.4968	19.0173	11.7561	18.6417
2.08333	16.796	21.36	9.13726	21.533	24.6909	19.1823	11.8469	18.6265
2.18633	16.6384	21.2217	9.10188	22.1236	24.8149	19.2258	11.8753	19.0276
2.37048	17.5772	20.9663	9.74334	22.8033	25.0214	19.0292	11.9099	18.9739
2.08439	17.1178	21.0919	9.8034	21.9722	25.2153	18.9661	11.9131	18.9123
2.29861	17.0832	20.9646	9.49873	21.4444	24.9728	19.0918	12.4477	18.7267
2.17292	17.0714	21.1911	9.79626	22.3078	24.9721	19.103	11.6269	18.308
2.20585	16.627	20.8111	9.39555	22.1845	25.103	19.0899	12.0756	18.2004
2.12859	16.7855	21.3377	9.00963	22.4786	24.8341	19.1617	11.8193	18.6996
2.33799	16.5853	20.7791	9.38994	22.182	24.8915	19.1353	12.1306	18.5422
2.18922	16.8188	21.2	9.29361	21.6548	24.755	19.2475	12.467	19.367
