cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
0.0	0.0032577	0.000387673	0.00017965	0.0269321	0.0776889	0.000152607	0.0258386	0.0775329
0.0	0.00158072	0.000111416	0.000192928	0.0196768	0.114172	0.000137051	0.0194233	0.102114
0.0	0.000183611	0.000177512	0.000206948	0.0330776	0.104545	0.000235217	0.0184687	0.106102
0.0	0.00318801	0.000222208	0.000206421	0.029992	0.0975138	0.000175155	0.0256004	0.103685
0.0	0.00618519	0.000143556	0.000181279	0.0247335	0.104579	0.00017937	0.0222822	0.101344
0.0	0.000210107	8.18272e-05	0.000149533	0.0224843	0.108497	0.000164827	0.0231752	0.102351
0.0	0.000717912	0.000205139	0.000188944	0.0304161	0.0955577	0.000164572	0.0233396	0.0668519
0.0	0.00491906	7.0287e-05	0.000172201	0.026653	0.102727	0.000227292	0.0220564	0.106802
0.0	0.000309684	8.15269e-05	0.000197077	0.0251508	0.100193	9.13354e-05	0.0214247	0.0841142
0.0	0.00010236	0.000148846	0.000194646	0.0248557	0.0948486	0.000135907	0.0232359	0.0919781
0.0	0.00410972	2.22712e-05	0.000129443	0.0200456	0.115646	0.000133531	0.0295465	0.103559
0.0	0.000458158	0.000224716	0.000211984	0.0167634	0.122237	0.000181133	0.0288985	0.10472
0.0	0.00725411	5.54353e-05	0.000130497	0.0326619	0.0897448	0.000152532	0.0283072	0.104469
0.0	0.000265585	0.000156062	0.000135785	0.029529	0.0421735	0.000135939	0.0280846	0.0996268
0.0	0.00546708	8.35648e-05	0.000209985	0.024048	0.113854	0.000166554	0.0269302	0.0586699
0.0	0.000405509	7.34393e-05	0.000163106	0.0189758	0.106383	0.000181651	0.0271742	0.0987616
0.0	0.000772741	0.000257247	0.000237822	0.0214303	0.132401	0.000125998	0.0267979	0.0929294
0.0	0.000967902	8.28471e-05	0.00019809	0.0258273	0.100102	0.000155399	0.0250823	0.104822
0.0	0.00192839	0.000147573	0.000176565	0.0304953	0.115747	0.000160703	0.0249983	0.0913241
0.0	0.00203239	0.000114697	0.000209221	0.0322047	0.111613	0.000177393	0.0191212	0.108739
0.0	0.00045659	0.000212849	0.000232309	0.0247816	0.0824117	0.000179546	0.0240435	0.106499
0.0	1.1166e-05	6.33201e-05	0.000155081	0.0320112	0.106744	0.000164726	0.0204352	0.105879
0.0	0.00140593	3.68666e-05	0.000155231	0.0222058	0.108343	0.000151495	0.0210502	0.0937917
0.0	0.000423149	6.06841e-05	0.000187837	0.0194362	0.131107	0.000157864	0.0227674	0.086601
0.0	0.00260594	4.73771e-05	0.000213534	0.0186197	0.0713573	0.000194444	0.0267249	0.0887918
0.0	1.17447e-06	0.00024291	0.000186914	0.0308715	0.0764725	0.000156338	0.0153281	0.0868628
0.0	0.00115057	0.000344405	0.00019995	0.0263129	0.0675195	0.000202678	0.0239879	0.108608
0.0	0.00182484	0.000198675	0.000162735	0.0208443	0.0782113	0.000190804	0.0270044	0.107891
0.0	0.000824933	0.000159795	0.000155646	0.0233285	0.0796168	0.000180085	0.0210039	0.0741993
0.0	0.00100743	0.000602178	0.000220173	0.0253391	0.0915589	0.000193303	0.022376	0.093832
