cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
2.18519	16.4636	21.0165	9.5923	21.9276	25.1189	19.1543	11.863	18.7932
2.08474	17.4497	20.8431	9.17515	22.1025	24.551	19.2678	11.5173	18.6674
2.17035	16.8173	20.4527	8.98727	22.1509	24.3927	19.0886	11.7106	18.593
2.17109	16.4	21.1804	9.45968	22.3477	25.0591	18.9818	11.9604	18.9978
2.24233	16.6791	20.5429	9.49417	21.5933	24.7113	19.1994	11.9583	19.1243
2.35883	17.3691	20.9859	9.54758	21.6872	25.2224	19.1442	12.1423	18.5961
2.34316	16.9977	20.8935	9.06971	21.2254	24.3848	19.0764	11.5246	18.3723
2.28654	16.3294	21.0638	8.77605	22.6497	24.3638	19.0698	12.0222	18.8934
2.29723	16.8962	20.8096	9.34594	21.5537	24.7647	19.1345	11.7191	19.1107
2.36604	16.8387	21.0553	8.82186	22.0213	24.3225	19.068	12.4047	18.9281
2.21818	17.293	20.6026	9.23932	22.2786	24.7796	19.3067	11.6105	18.328
2.16483	16.273	21.1929	9.12785	22.7339	24.5226	19.0703	12.1506	19.7364
2.10192	16.2265	20.5469	8.82513	21.2573	24.4751	19.0446	12.1338	19.106
2.13421	17.489	20.6664	9.32042	21.3334	24.8484	18.9482	11.562	18.5413
2.05397	17.0245	20.8834	9.27791	21.4223	24.9414	18.9142	11.9868	18.3247
2.29407	17.2964	21.1404	8.96752	21.3909	24.3605	19.1405	11.99	18.8707
2.18459	16.8559	20.4316	9.47429	21.1893	24.894	19.1172	12.0707	19.2408
2.3108	16.5703	21.0072	9.66937	22.6619	25.0047	19.092	12.3729	19.3549
2.25113	17.1393	20.7979	9.55726	22.413	24.9835	19.1458	11.9227	18.3324
2.04821	17.4733	20.8551	9.05866	21.7829	24.5153	19.1625	11.958	19.2284
2.20109	17.332	21.0778	9.0562	22.0988	24.6569	19.034	11.6746	18.2426
2.10112	17.4759	21.1499	9.17057	22.3173	24.8227	19.1423	11.993	19.1761
2.2356	17.3223	20.7961	9.78212	22.4948	25.0549	19.1575	11.8076	18.485
2.31568	17.0746	21.3505	9.93125	21.8701	25.2091	19.231	11.9063	18.6586
2.21076	16.9376	21.1218	9.48662	21.9854	24.9813	19.248	12.4997	19.4411
2.21952	17.3561	21.0186	9.77459	22.4447	25.0247	18.9923	12.717	19.6167
2.28009	16.6277	20.7291	9.33167	22.15	25.1616	19.1511	11.7586	18.443
2.17441	16.8681	20.9287	9.12023	21.0625	24.8813	19.1916	11.7918	19.2735
2.08911	16.1958	20.8143	9.45857	22.5954	24.8826	19.1204	12.1369	19.0014
2.165	16.4044	21.1914	9.24731	21.5951	24.8054	19.465	12.2525	18.9756
