cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
6036.19	2240.23	3460.63	1167.9	4536.33	4794.15	858.156	4412.21	4664.9
6219.67	2198.12	3571.17	1062.38	4660.36	4669.05	940.084	4363.53	4575.27
6184.83	2266.07	3509.67	1147.05	4561.78	4685.39	620.328	4447.24	4641.23
6381.24	2310.82	3554.76	1165.78	4550.76	4776.55	886.088	4358.15	4669.83
6489.73	2191.38	3588.11	1135.92	4580.43	4802.15	882.913	4370.39	4680.23
6307.71	2277.1	3532.8	1182.92	4490.36	4782.72	854.323	4377.04	4709.61
5983.64	2261.71	3621.06	1054.89	4620.22	4772.72	619.067	4368.94	4710.77
6362.5	2173.58	3474.14	1147.07	4561.02	4786.77	2074.24	4305.6	4646.84
6274.92	2412.25	3467.65	1118.48	4710.22	4724.9	560.018	4317.76	4759.13
6484.3	2047.86	3646.01	1147.28	4518.99	4801.97	685.539	4367.1	4689.39
6299.61	2122.11	3584.95	1140.43	4612.93	4885.28	886.715	4356.16	4609.15
6201.97	2189.42	3520.6	1224.14	4557.51	4840.36	779.42	4442.83	4700.26
6603.89	2062.02	3566.54	1152.36	4462.38	4638.12	1290.63	4349.07	4660.3
6168.13	2135.82	3576.68	1153.8	4540.53	4801.63	1191.77	4224.54	4651.03
6312.22	2314.11	3746.58	1147.29	4540.76	4808.24	1025.38	4368.85	4663.32
6559.12	2248.09	3592.52	1136.69	4550.53	4739.72	1251.9	4374.62	4680.1
6428.18	2188.5	3421.19	1144.35	4539.41	4770.37	763.326	4342.64	4656.49
6096.22	2117.02	3648.97	1054.61	4643.97	4847.81	766.253	4325.28	4696.18
6213.09	2071.74	3646.53	1171.98	4564.79	4829.35	1644.33	4401.72	4662.05
6134.81	2143.97	3575.88	1192.46	4521.88	4702.1	1602.85	4271.85	4685.32
6211.57	2336.86	3587.81	1196.91	4576.44	4749.03	2024.51	4372.97	4656.45
6290.67	2165.79	3458.86	1092.22	4531.73	4731.83	891.576	4318.4	4655.11
6334.32	2389.6	3544.65	1179.27	4605.58	4698.46	981.589	4348.42	4660.72
6288.51	2201.04	3507.76	1157.48	4448.8	4839.14	956.401	4281.19	4681.92
6243.02	2274.25	3502.28	1105.28	4502.32	4729.19	1483.74	4378.55	4623.29
6336.57	2068.27	3454.35	1164.6	4452.9	4753.48	966.897	4434.34	4725.87
5990.1	2322.64	3625.21	1137.03	4491.04	4665.37	689.766	4354.81	4652.01
6336.66	2078.87	3499.06	1140.03	4517.43	4707.6	821.989	4317.98	4735.81
6272.62	2192.75	3588.4	1111.07	4541.91	4639.15	1180.38	4351.55	4609.01
6041.91	2002.89	3694.87	1214.18	4617.39	4762.56	794.197	4277.3	4646.98
