cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
94.3259	388.779	219.382	108.663	2464.01	4084.11	102.931	780.905	3088.81
96.9755	334.056	272.501	108.275	2485.96	3960.28	102.612	840.79	3660.12
98.0862	386.27	198.5	110.404	2193.83	3705.22	102.834	866.703	3425.35
97.7409	230.639	206.011	105.869	2118.39	3613.35	102.534	745.067	3358.92
95.9845	316.367	290.76	164.601	2497.46	4047.59	103.328	757.135	3613.6
96.2877	251.129	283.493	110.062	1805.24	3537.17	102.48	720.978	3608.77
97.0594	421.52	282.682	108.981	2184.78	3339.63	102.935	830.924	3389.68
95.8754	322.541	230.545	108.818	1879.45	4302.68	102.649	878.191	3404.55
97.656	301.016	223.278	107.317	2198.77	4007.99	103.263	767.591	3276.99
98.4153	347.61	233.642	108.054	1984.07	3728.67	102.603	801.31	3410.71
95.3819	329.052	251.144	107.728	2023.76	3758.87	102.566	807.023	3624.85
94.3472	225.46	193.192	108.356	2728.02	4512.35	103.409	789.148	3544.92
96.8817	405.995	212.269	141.995	2301.09	3456.85	102.553	782.118	3456.85
95.4508	256.629	278.367	108.041	2143.39	4266.74	102.232	845.563	3739.06
95.0886	243.74	315.472	108.808	2117.96	2862.96	103.283	869.698	2862.96
96.5812	647.86	233.403	108.11	2700.56	3844.21	102.662	772.629	3369.0
96.7204	401.696	260.024	107.415	2380.04	4265.71	102.922	821.984	3727.5
95.8664	316.24	217.103	105.399	2032.19	4094.31	102.44	791.866	3745.17
96.8733	250.639	205.552	107.444	2091.03	3819.67	102.783	771.59	3666.92
96.6988	265.16	307.482	109.031	2710.49	3575.23	103.487	788.898	2981.9
96.982	261.997	231.509	107.673	2036.79	4344.01	102.88	763.985	2932.47
97.7002	193.224	199.217	110.405	2198.08	3813.27	103.458	863.096	3344.13
95.9356	341.498	213.474	111.407	2635.88	3572.86	103.463	853.392	3478.84
94.6389	253.374	224.258	108.863	1980.23	3847.54	102.829	799.591	3403.3
98.5726	260.6	252.86	105.066	2717.85	3497.84	101.86	842.128	3504.52
96.5296	349.593	410.981	109.809	2120.48	4052.14	103.361	729.744	3174.89
96.319	342.358	269.171	163.714	2352.79	3752.67	102.979	835.932	3283.15
96.0702	312.964	265.827	109.384	2092.7	4164.72	102.796	880.742	3439.11
95.0126	307.462	226.373	109.199	2349.41	3990.86	102.596	709.6	3522.47
98.6947	263.219	265.387	106.639	2833.21	2994.1	101.807	810.838	3298.72
