cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
1.05682e-37	0.0404839	0.00152887	0.00289559	0.323601	1.70974	0.00313332	0.385505	1.32835
1.21027e-36	0.0127227	0.00137411	0.00215146	0.337958	1.75299	0.0022984	0.446949	1.49209
6.82695e-38	0.00605576	0.000223004	0.0025603	0.342617	1.31008	0.00198634	0.363684	1.35147
4.55858e-36	0.000595592	0.000652007	0.00248698	0.416313	1.70539	0.00259309	0.340664	1.56759
9.8421e-37	0.00948924	0.000594373	0.00262324	0.322456	1.41513	0.00208628	0.339576	1.36645
9.67291e-36	0.00362156	0.00180287	0.00234209	0.391294	1.32247	0.00247789	0.356831	1.50566
2.29998e-36	0.123229	0.000523195	0.00256054	0.334934	1.88729	0.00212495	0.361249	1.47425
4.27062e-37	0.00980828	0.000610859	0.00299891	0.276745	1.52498	0.00251864	0.327666	0.978245
5.59205e-38	0.00658091	0.000573426	0.00245237	0.417577	1.34545	0.0014602	0.328251	1.10077
3.56619e-36	0.0124514	0.00193418	0.00200115	0.331965	1.81567	0.00245637	0.373765	1.4415
4.313779999999999e-37	0.0179521	0.000458681	0.00156949	0.404231	1.82639	0.00238651	0.370582	1.58769
1.17219e-35	0.00377495	0.000144321	0.00229751	0.431802	1.95393	0.0024446	0.386576	1.6571
2.50365e-36	0.0481623	0.000818531	0.00236117	0.391123	1.6294	0.00255941	0.367528	1.71156
1.29701e-35	0.0175887	0.000115508	0.00114404	0.455797	1.13229	0.00228735	0.391356	1.52279
2.1211e-37	0.0421179	0.000439696	0.0023385	0.350669	1.31136	0.00238556	0.320647	1.41467
6.1169799999999995e-37	0.0425014	0.000237117	0.00310399	0.461982	1.50064	0.00236689	0.29847	1.36299
8.446389999999999e-37	0.0200903	0.000290252	0.00268554	0.303383	1.50714	0.00257219	0.390778	1.42762
8.27412e-37	0.132747	0.000162804	0.0023135	0.39625	1.47363	0.00250982	0.335436	1.43259
4.07026e-37	0.00989509	0.000386819	0.00278918	0.48242	1.39761	0.00270575	0.241572	1.35864
2.1714199999999997e-37	0.0255851	0.000473445	0.00213221	0.508206	1.45709	0.00244316	0.288588	1.30883
5.0434e-37	0.0182103	0.00198602	0.00275022	0.384248	1.59306	0.00203027	0.358643	1.51819
1.6669699999999999e-37	0.127842	0.000790498	0.00230414	0.421434	1.30661	0.00287584	0.397596	1.02686
2.01897e-36	0.00107789	0.000206821	0.00300272	0.296414	1.2765	0.00294627	0.431294	1.31935
1.00471e-36	0.0236277	0.0002654	0.00269732	0.394158	1.54487	0.00209498	0.400687	1.57219
4.86725e-37	0.00392575	0.000553139	0.00250304	0.368026	1.8029	0.00235421	0.464008	1.80657
7.97087e-38	0.00776207	0.00144705	0.00222582	0.330977	1.92886	0.00253202	0.32068	1.81641
2.1254e-37	0.0786243	0.000559775	0.00251672	0.302857	1.4867	0.00230842	0.372006	0.991249
2.18557e-36	0.0263868	0.00252534	0.00280765	0.441158	1.1244	0.00253879	0.381836	1.45388
4.92693e-36	0.0098564	0.000255257	0.00227738	0.365713	1.42233	0.00238234	0.354246	1.41561
1.02183e-36	0.0500949	0.00029835	0.00224098	0.393144	1.37433	0.0028354	0.407672	1.50341
